@relation unknow-weka.filters.supervised.instance.StratifiedRemoveFolds-S234978-N10-F1

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute class {1,2,3,4,5,6,7}

@data
1.522107,14.188,3.78058,0.90953,71.3612,0.22977,9.1422,0,0.1887,3
1.516093,13.33015,3.52914,1.33967,72.6716,0.5589,8.3352,0,0,3
1.517301,12.3526,2.72094,1.62857,72.8676,0.70173,9.22828,0,0,2
1.518918,13.46315,3.82997,1.25942,72.5484,0.57132,8.20608,0,0.0714,2
1.518462,13.40995,3.88834,1.33004,72.3804,0.50922,8.2814,0,0,2
1.515911,13.0176,3.57853,1.5098,73.1196,0.68931,7.9586,0,0,2
1.531242,10.73,0,2.10044,69.81,0.57753,13.29556,3.15,0.1428,2
1.516549,12.7516,2.85115,1.43918,73.2708,0.57132,8.78712,0.11025,0.1122,2
1.517118,12.89125,3.61894,1.57079,72.9572,0.60858,8.10924,0,0,2
1.520672,13.5496,2.08785,1.6703,72.1788,0.52785,9.5726,0.2709,0.0867,2
1.517528,12.57205,3.47077,1.3814,73.3884,0.60237,8.5504,0,0.0306,1
1.515888,12.87795,3.43036,1.40066,73.282,0.68931,8.04468,0,0.1224,1
1.517551,12.7117,3.42138,1.19843,73.198,0.58995,8.63648,0,0,1
1.517779,13.21045,2.81074,1.29152,72.9796,0.50922,9.02384,0,0.459,1
1.519761,13.80895,3.57853,1.32041,71.7196,0.11799,8.66876,0.68985,0,1
1.51926,13.19715,3.33158,1.27868,72.358,0.60237,9.1422,0,0.0561,1
1.512152,12.991,3.47077,1.12139,72.9796,0.621,8.34596,0,0.1581,1
1.518371,14.321,3.25974,2.21921,71.2492,1.45935,5.78508,1.62855,0,7
1.518303,14.3875,0,1.82117,72.862,1.40967,6.47372,2.8791,0,7
1.515091,15.15225,0,2.25131,73.5004,0,8.3352,0.63,0,7
1.52172,11.56125,1.88131,1.56116,72.862,0.47196,11.41256,0,0,5
1.51828,14.46065,2.24051,1.61894,72.3804,0,9.26056,0,0,6
